Phase,Comparison,Test,Group,N,N_events,Statistic,p_value,FDR_WithinPhase,Significant,Effect_Size
Phase 2,SEX enrichment,Binomial,Adamantinomatous Craniopharyngioma,115,40,34.8%F,0.014928,0.03874927659574468,*,-11.37
Phase 2,SEX enrichment,Binomial,Atypical Teratoid Rhabdoid Tumor,152,87,57.2%F,0.007093,0.01952542222222222,**,11.08
Phase 2,SEX enrichment,Binomial,Chordoma,29,21,72.4%F,0.004931,0.013990279069767441,**,26.26
Phase 2,SEX enrichment,Binomial,Diffuse midline glioma,408,225,55.1%F,0.000283,0.0009331351351351352,***,9.0
Phase 2,SEX enrichment,Binomial,Ewing sarcoma,46,12,26.1%F,0.007202,0.01952542222222222,**,-20.07
Phase 2,SEX enrichment,Binomial,Medulloblastoma,440,179,40.7%F,0.021716,0.051948078431372544,*,-5.47
Phase 2,Predisposition prevalence,Binomial,Adamantinomatous Craniopharyngioma,115,1,0.9%Pred,0.000304,0.000976,***,-8.45
Phase 2,Predisposition prevalence,Binomial,Atypical Teratoid Rhabdoid Tumor,152,29,19.1%Pred,0.000208,0.0007048888888888889,***,9.76
Phase 2,Predisposition prevalence,Binomial,Choroid plexus tumor,100,19,19.0%Pred,0.002739,0.007956142857142858,**,9.68
Phase 2,Predisposition prevalence,Binomial,Diffuse hemispheric glioma,47,0,0.0%Pred,0.020305,0.0495442,*,-9.32
Phase 2,Predisposition prevalence,Binomial,Diffuse midline glioma,421,8,1.9%Pred,0.0,0.0,***,-7.42
Phase 2,Predisposition prevalence,Binomial,Ependymoma,341,5,1.5%Pred,0.0,0.0,***,-7.86
Phase 2,Predisposition prevalence,Binomial,Ewing sarcoma,46,0,0.0%Pred,0.019876,0.0495442,*,-9.32
Phase 2,Predisposition prevalence,Binomial,Ganglioglioma,151,2,1.3%Pred,0.00011,0.00038342857142857146,***,-8.0
Phase 2,Predisposition prevalence,Binomial,Glial-neuronal tumor NOS,69,1,1.4%Pred,0.020097,0.0495442,*,-7.87
Phase 2,Predisposition prevalence,Binomial,Hemangioblastoma,20,13,65.0%Pred,0.0,0.0,***,55.68
Phase 2,Predisposition prevalence,Binomial,High-grade glioma,512,80,15.6%Pred,6e-06,2.218181818181818e-05,***,6.3
Phase 2,Predisposition prevalence,Binomial,Medulloblastoma,440,10,2.3%Pred,0.0,0.0,***,-7.05
Phase 2,Predisposition prevalence,Binomial,Meningioma,100,16,16.0%Pred,0.036181,0.08174225925925925,*,6.68
Phase 2,Predisposition prevalence,Binomial,Neurofibroma/Plexiform,48,43,89.6%Pred,0.0,0.0,***,80.26
Phase 2,Predisposition prevalence,Binomial,Oligodendroglioma,70,0,0.0%Pred,0.001658,0.0050569000000000005,**,-9.32
Phase 2,Predisposition prevalence,Binomial,Schwannoma,68,22,32.4%Pred,0.0,0.0,***,23.03
Phase 2,Predisposition prevalence,Binomial,nan,238,34,14.3%Pred,0.013504,0.03581495652173913,*,4.96
Phase 2,Subtype enrichment: Unclassified,Binomial,Choroid plexus tumor,100,100,100.0%,0.0,0.0,***,79.55
Phase 2,Subtype enrichment: Unclassified,Binomial,Dysembryoplastic neuroepithelial tumor,73,73,100.0%,0.0,0.0,***,79.55
Phase 2,Subtype enrichment: Unclassified,Binomial,Hemangioblastoma,20,20,100.0%,0.0,0.0,***,79.55
Phase 2,Subtype enrichment: Unclassified,Binomial,Meningioma,100,100,100.0%,0.0,0.0,***,79.55
Phase 2,Subtype enrichment: Unclassified,Binomial,Neurofibroma/Plexiform,48,48,100.0%,0.0,0.0,***,79.55
Phase 2,Subtype enrichment: Unclassified,Binomial,Oligodendroglioma,70,70,100.0%,0.0,0.0,***,79.55
Phase 2,Subtype enrichment: Unclassified,Binomial,Sarcoma,49,49,100.0%,0.0,0.0,***,79.55
Phase 2,Subtype enrichment: Unclassified,Binomial,Schwannoma,68,68,100.0%,0.0,0.0,***,79.55
Phase 2,Subtype enrichment: Unclassified,Binomial,nan,238,238,100.0%,0.0,0.0,***,79.55
Phase 2,"Subtype enrichment: HGG, H3 wildtype",Binomial,High-grade glioma,512,348,68.0%,0.0,0.0,***,59.9
Phase 2,"Subtype enrichment: LGG, KIAA1549-BRAF",Binomial,Low-grade glioma,862,337,39.1%,0.0,0.0,***,31.28
Phase 2,"Subtype enrichment: DMG, H3 K28, TP53",Binomial,Diffuse midline glioma,421,246,58.4%,0.0,0.0,***,52.73
Phase 2,"Subtype enrichment: DMG, H3 K28",Binomial,Diffuse midline glioma,421,175,41.6%,0.0,0.0,***,37.51
Phase 2,"Subtype enrichment: MB, Group4",Binomial,Medulloblastoma,440,151,34.3%,0.0,0.0,***,30.82
Phase 2,"Subtype enrichment: LGG, wildtype",Binomial,Low-grade glioma,862,146,16.9%,0.0,0.0,***,13.55
Phase 2,"Subtype enrichment: EPN, To be classified",Binomial,Ependymoma,341,140,41.1%,0.0,0.0,***,37.81
Phase 2,"Subtype enrichment: HGG, H3 wildtype, TP53",Binomial,High-grade glioma,512,115,22.5%,0.0,0.0,***,19.79
Phase 2,"Subtype enrichment: CRANIO, ADAM",Binomial,Adamantinomatous Craniopharyngioma,115,115,100.0%,0.0,0.0,***,97.33
Phase 2,"Subtype enrichment: MB, SHH",Binomial,Medulloblastoma,440,114,25.9%,0.0,0.0,***,23.27
Phase 2,"Subtype enrichment: EPN, PF A",Binomial,Ependymoma,341,99,29.0%,0.0,0.0,***,26.74
Phase 2,"Subtype enrichment: MB, Group3",Binomial,Medulloblastoma,440,97,22.0%,0.0,0.0,***,19.8
