Phase,Comparison,Test,Group,N,N_events,Statistic,p_value,FDR_WithinGroup,Significant,Effect_Size,Basic_Ref,Original_Phase
1A,"AGE × OS (KM, per-group)",Log-rank,Adamantinomatous Craniopharyngioma,98,3,χ²(1)=1.53,0.4643,0.722,❌ NS,q=0.8021,Step 14,
1A,"AGE × EFS (KM, per-group)",Log-rank,Adamantinomatous Craniopharyngioma,98,66,χ²(1)=1.36,0.5054,0.722,❌ NS,q=0.6540,Step 14,
1A,"AGE × OS (KM, per-group)",Log-rank,Atypical Teratoid Rhabdoid Tumor,141,90,χ²(1)=1.49,0.474,0.711,❌ NS,q=0.8021,Step 14,
1A,"AGE × EFS (KM, per-group)",Log-rank,Atypical Teratoid Rhabdoid Tumor,141,116,χ²(1)=0.28,0.8712,0.9462,❌ NS,q=0.9127,Step 14,
1A,"AGE × OS (KM, per-group)",Log-rank,CNS Embryonal tumor,24,14,χ²(1)=4.33,0.1145,0.2610290980574169,❌ NS,q=0.3058,Step 14,
1A,"AGE × EFS (KM, per-group)",Log-rank,CNS Embryonal tumor,24,20,χ²(1)=0.60,0.7404,0.7404,❌ NS,q=0.9049,Step 14,
1A,"AGE × OS (KM, per-group)",Log-rank,Chordoma,26,17,χ²(1)=12.82,0.0016,0.0064,🟢🟢 p<0.01,q=0.0120,Step 14,
1A,"AGE × EFS (KM, per-group)",Log-rank,Chordoma,26,18,χ²(1)=7.46,0.0239,0.027314285714285715,🟢 p<0.05,q=0.0699,Step 14,
1A,"AGE × OS (KM, per-group)",Log-rank,Choroid plexus tumor,89,14,χ²(1)=6.86,0.0325,0.078,🟢 p<0.05,q=0.1190,Step 14,
1A,"AGE × EFS (KM, per-group)",Log-rank,Choroid plexus tumor,88,25,χ²(1)=0.37,0.8319,0.8546,❌ NS,q=0.9127,Step 14,
1A,"AGE × OS (KM, per-group)",Log-rank,Diffuse hemispheric glioma,26,24,χ²(1)=13.69,0.0011,0.00176,🟢🟢 p<0.01,q=0.0120,Step 14,
